,,,,HH -1 NORMAL HOUSEHOLDS BY HOUSEHOLD SIZE (Census 2011),,,,,,,,,,,
Table,State,Area Name,Total/,Normal households,,Household size,,,,,,,,,Mean
name,code,,Rural/,,,,,,,,,,,, household size
,,,Urban,Number,Population,1,2,3,4,5,6,10-Jul,14-Nov,15+,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,,,,,,,,,,
HH01,0,INDIA (00),Total,248408494,1200536286,10194374,24134122,34381318,56830069,46231375,30934658,39056949,4921021,1724608,4.8
HH01,0,INDIA (00),Rural,168078743,828393569,7154159,16523829,21447598,35484055,31505519,22232342,28864168,3591307,1275766,4.9
HH01,0,INDIA (00),Urban,80329751,372142717,3040215,7610293,12933720,21346014,14725856,8702316,10192781,1329714,448842,4.6
HH01,1,State - JAMMU & KASHMIR (01),Total,2104533,12165603,38218,100747,186896,353455,395348,327362,613761,61689,27057,5.8
HH01,1,State - JAMMU & KASHMIR (01),Rural,1546860,8952823,28368,78811,139054,244851,286539,243955,461120,45410,18752,5.8
HH01,1,State - JAMMU & KASHMIR (01),Urban,557673,3212780,9850,21936,47842,108604,108809,83407,152641,16279,8305,5.8
HH01,3,State - PUNJAB (03),Total,5486851,27515438,152811,345136,635993,1309093,1218053,812909,888931,101651,22274,5
HH01,3,State - PUNJAB (03),Rural,3344978,17258524,84215,195185,354873,738840,757127,528806,600024,70433,15475,5.2
HH01,3,State - PUNJAB (03),Urban,2141873,10256914,68596,149951,281120,570253,460926,284103,288907,31218,6799,4.8
HH01,7,State - NCT OF DELHI (07),Total,3407586,16657938,125873,249288,442789,836940,696033,453294,521704,64360,17305,4.9
HH01,7,State - NCT OF DELHI (07),Rural,79411,417703,2329,4229,7786,17540,17609,12364,14981,2072,501,5.3
HH01,7,State - NCT OF DELHI (07),Urban,3328175,16240235,123544,245059,435003,819400,678424,440930,506723,62288,16804,4.9
HH01,9,State - UTTAR PRADESH (09),Total,33232433,198456788,1180830,2169153,2736109,4588416,5592662,5162152,9450063,1627912,725136,6
HH01,9,State - UTTAR PRADESH (09),Rural,25564125,154581798,956170,1720758,1994517,3210991,4184175,4035399,7561157,1311555,589403,6
HH01,9,State - UTTAR PRADESH (09),Urban,7668308,43874990,224660,448395,741592,1377425,1408487,1126753,1888906,316357,135733,5.7
HH01,10,State - BIHAR (10),Total,18867444,103788375,493650,1686259,1976127,2944117,3437359,2939286,4514412,608153,268081,5.5
HH01,10,State - BIHAR (10),Rural,16827481,92115503,446376,1560613,1786302,2586268,3042469,2625482,4021913,525969,232089,5.5
HH01,10,State - BIHAR (10),Urban,2039963,11672872,47274,125646,189825,357849,394890,313804,492499,82184,35992,5.7
HH01,18,State - ASSAM (18),Total,6387047,31035763,218157,473035,958355,1448853,1242793,847332,1080965,98339,19218,4.9
HH01,18,State - ASSAM (18),Rural,5406784,26682716,172591,387956,766452,1178480,1074054,755774,971491,84499,15487,4.9
HH01,18,State - ASSAM (18),Urban,980263,4353047,45566,85079,191903,270373,168739,91558,109474,13840,3731,4.4
HH01,19,State - WEST BENGAL (19),Total,20309872,90780198,730841,1811159,3849342,5480737,3737061,2115306,2301795,228112,55519,4.5
HH01,19,State - WEST BENGAL (19),Rural,13784414,62000743,476900,1182962,2385334,3821222,2692374,1517359,1531273,145527,31463,4.5
HH01,19,State - WEST BENGAL (19),Urban,6525458,28779455,253941,628197,1464008,1659515,1044687,597947,770522,82585,24056,4.4
HH01,24,State - GUJARAT (24),Total,12193328,59996179,465563,1103695,1476761,2690315,2391422,1705749,2072854,231249,55720,4.9
HH01,24,State - GUJARAT (24),Rural,6752275,34488314,269790,624206,675754,1269325,1335785,1047112,1345876,148856,35571,5.1
HH01,24,State - GUJARAT (24),Urban,5441053,25507865,195773,479489,801007,1420990,1055637,658637,726978,82393,20149,4.7
HH01,27,State - MAHARASHTRA (27),Total,24296607,111147778,1051681,2479086,3519055,6238226,4771705,2862928,2943261,339516,91149,4.6
HH01,27,State - MAHARASHTRA (27),Rural,13161832,60898260,618328,1411517,1649152,3151959,2685886,1706658,1709167,185170,43995,4.6
HH01,27,State - MAHARASHTRA (27),Urban,11134775,50249518,433353,1067569,1869903,3086267,2085819,1156270,1234094,154346,47154,4.5
HH01,28,State - ANDHRA PRADESH (28),Total,20927188,83232560,1140133,2933864,3669205,6546167,3618574,1672580,1237330,86808,22527,4
HH01,28,State - ANDHRA PRADESH (28),Rural,14190615,55591999,898567,2113088,2458097,4276998,2428166,1133667,819488,51147,11397,3.9
HH01,28,State - ANDHRA PRADESH (28),Urban,6736573,27640561,241566,820776,1211108,2269169,1190408,538913,417842,35661,11130,4.1
