,,,,,,,C -1 POPULATION BY RELIGIOUS COMMUNITY - 2011,,,,,,,,,,,,C -1 POPULATION BY RELIGIOUS COMMUNITY,,,,,,,,,,,,,,
Table,State,Distt.,Tehsil,Town,Area Name,Total/,,,, Religious communities,,,,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,Code,Code,,Rural/,Total,,,Hindu,,,Muslim,,,Christian,,,Sikh,,,Buddhist,,,Jain,,,Other religions and persuasions (incl.Unclassified Sect.),,,Religion not stated,,
,,,,,,Urban,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0100,0,0,0,0,INDIA,Total,1210854977,623270258,587584719,966257353,498306968,467950385,172245158,88273945,83971213,27819588,13751031,14068557,20833116,10948431,9884685,8442972,4296010,4146962,4451753,2278097,2173656,7937734,3952064,3985670,2867303,1463712,1403591
C0100,0,0,0,0,INDIA,Rural,833748852,427781058,405967794,684093951,351423647,332670304,103504739,52870001,50634738,16657065,8295745,8361320,14930792,7839048,7091744,4814849,2457022,2357827,904809,467577,437232,7199007,3583894,3615113,1643640,844124,799516
C0100,0,0,0,0,INDIA,Urban,377106125,195489200,181616925,282163402,146883321,135280081,68740419,35403944,33336475,11162523,5455286,5707237,5902324,3109383,2792941,3628123,1838988,1789135,3546944,1810520,1736424,738727,368170,370557,1223663,619588,604075
C0101,1,0,0,0,State - JAMMU & KASHMIR ,Total,12541302,6640662,5900640,3566674,1987021,1579653,8567485,4428774,4138711,35631,21523,14108,234848,132897,101951,112584,56442,56142,2490,1310,1180,1508,802,706,20082,11893,8189
